kategori,rincian_masalah,status,tanggal_masuk,tanggal_selesai,id_laporan,skpd,response_time
SALURAN AIR,-,COMPLETE,2019-01-01,2019-01-01,QL001339832,KELURAHAN PEGADUNGAN,0
BANJIR,LAPORAN BANJIR,COMPLETE,2019-01-01,2019-01-10,JK2001010019,KELURAHAN KAPUK,9
BANJIR,LAPORAN BANJIR,COMPLETE,2019-01-01,2019-01-10,JK2001010017,KELURAHAN KAPUK,9
SAMPAH,-,COMPLETE,2019-01-01,2019-01-01,QL001339801,KELURAHAN PEGADUNGAN,0
SAMPAH,SAMPAH LINGKUNGAN,COMPLETE,2019-01-01,2019-01-01,QL001339800,KELURAHAN PEGADUNGAN,0
JARINGAN LISTRIK,KELUHAN PLN,COMPLETE,2019-01-02,2019-01-03,TW000028049,WALIKOTA JAKARTA BARAT,1
JARINGAN LISTRIK,KELUHAN PLN,COMPLETE,2019-01-02,2019-01-03,TW000028043,WALIKOTA JAKARTA BARAT,1
BANJIR,PENANGANAN KORBAN,COMPLETE,2019-01-02,2019-01-03,FB000028028,KELURAHAN KEDOYA SELATAN,1
SAMPAH,-,COMPLETE,2019-01-02,2019-01-02,QL001340350,KELURAHAN PEGADUNGAN,0
SAMPAH,-,COMPLETE,2019-01-02,2019-01-02,QL001340349,KELURAHAN PEGADUNGAN,0
SAMPAH,SAMPAH LINGKUNGAN,COMPLETE,2019-01-02,2019-01-02,QL001340348,KELURAHAN PEGADUNGAN,0
SAMPAH,SAMPAH LINGKUNGAN,COMPLETE,2019-01-02,2019-01-02,QL001340347,KELURAHAN CENGKARENG BARAT,0
BANJIR,LAPORAN BANJIR,COMPLETE,2019-01-02,2019-01-02,QL001340346,KELURAHAN TEGAL ALUR,0
BANJIR,LAPORAN BANJIR,COMPLETE,2019-01-02,2019-01-03,FB000028009,KELURAHAN KEDOYA UTARA,1
SAMPAH,SAMPAH LINGKUNGAN,COMPLETE,2019-01-02,2019-01-02,QL001340305,KELURAHAN KELAPA DUA,0
BANJIR,LAPORAN BANJIR,COMPLETE,2019-01-02,2019-01-02,QL001340304,KELURAHAN JELAMBAR BARU,0
SAMPAH,-,COMPLETE,2019-01-02,2019-01-02,QL001340302,KELURAHAN DURI UTARA,0
SAMPAH,-,COMPLETE,2019-01-02,2019-01-02,QL001340258,KELURAHAN KEMANGGISAN,0
SAMPAH,-,COMPLETE,2019-01-02,2019-01-02,QL001340257,KELURAHAN KEMANGGISAN,0
SAMPAH,SAMPAH LINGKUNGAN,COMPLETE,2019-01-02,2019-01-02,QL001340223,KELURAHAN MANGGA BESAR,0
SAMPAH,SAMPAH LINGKUNGAN,COMPLETE,2019-01-02,2019-01-02,JK2001020037,KELURAHAN PAL MERAH,0
SAMPAH,SAMPAH LINGKUNGAN,COMPLETE,2019-01-02,2019-01-02,JK2001020035,KELURAHAN PAL MERAH,0
POHON,POHON TUMBANG,COMPLETE,2019-01-02,2019-01-02,QL001340215,KELURAHAN KALI DERES,0
BANJIR,-,COMPLETE,2019-01-02,2019-01-02,QL001340179,KELURAHAN JOGLO,0
BANJIR,-,COMPLETE,2019-01-02,2019-01-02,QL001340178,KELURAHAN JOGLO,0
BANJIR,-,COMPLETE,2019-01-02,2019-01-02,QL001340177,KELURAHAN JOGLO,0
KONFLIK SOSIAL,-,COMPLETE,2019-01-03,2019-01-04,QL001339625,KELURAHAN GROGOL,1
JARINGAN LISTRIK,KELUHAN PLN,COMPLETE,2019-01-03,2019-01-04,SM000028234,WALIKOTA JAKARTA BARAT,1
SAMPAH,SAMPAH LINGKUNGAN,COMPLETE,2019-01-03,2019-01-04,QL001340405,KELURAHAN DURI SELATAN,1
JARINGAN LISTRIK,KELUHAN PLN,COMPLETE,2019-01-03,2019-01-04,FB000028224,WALIKOTA JAKARTA BARAT,1
SAMPAH,SAMPAH GOT,COMPLETE,2019-01-03,2019-01-04,QL4994318176675173586,KELURAHAN DURI KOSAMBI,1
BANJIR,PENANGANAN KORBAN,COMPLETE,2019-01-03,2019-01-05,FB000028222,KELURAHAN RAWA BUAYA,2
SAMPAH,SAMPAH SUNGAI,COMPLETE,2019-01-03,2019-01-03,FB000027548,KELURAHAN TEGAL ALUR,0
SAMPAH,-,COMPLETE,2019-01-03,2019-01-03,TW000028216,KELURAHAN KEMANGGISAN,0
PEKERJA PENANGANAN PRASARANA DAN SARANA UMUM KELURAHAN,-,COMPLETE,2019-01-03,2019-01-03,JK2001030093,KELURAHAN KEBON JERUK,0
SAMPAH,SAMPAH SUNGAI,COMPLETE,2019-01-03,2019-01-03,QL001340541,KELURAHAN PEGADUNGAN,0
SAMPAH,SAMPAH LINGKUNGAN,COMPLETE,2019-01-03,2019-01-03,QL001340539,KELURAHAN CENGKARENG BARAT,0
SAMPAH,SAMPAH GOT,COMPLETE,2019-01-03,2019-01-03,QL001340538,KELURAHAN CENGKARENG BARAT,0
SAMPAH,SAMPAH GOT,COMPLETE,2019-01-03,2019-01-03,QL001340537,KELURAHAN CENGKARENG BARAT,0
SAMPAH,SAMPAH GOT,COMPLETE,2019-01-03,2019-01-03,QL001340536,KELURAHAN CENGKARENG BARAT,0
SAMPAH,SAMPAH LINGKUNGAN,COMPLETE,2019-01-03,2019-01-03,QL001340535,KELURAHAN CENGKARENG BARAT,0
SAMPAH,-,COMPLETE,2019-01-03,2019-01-03,QL001340531,KELURAHAN PEGADUNGAN,0
JEMBATAN PENYEBERANGAN ORANG (JPO) DAN/ATAU HALTE,JPO/HALTE KOTOR,COMPLETE,2019-01-03,2019-01-03,QL001340525,KELURAHAN KEDOYA UTARA,0
SAMPAH,SAMPAH LINGKUNGAN,COMPLETE,2019-01-03,2019-01-03,QL001340520,KELURAHAN DURI KOSAMBI,0
SAMPAH,SAMPAH LINGKUNGAN,COMPLETE,2019-01-03,2019-01-03,JK2001030087,KELURAHAN TEGAL ALUR,0
JALAN,"KRIKIL JALAN""",COMPLETE,2019-01-04,2019-01-05,TW000028329,KELURAHAN KEBON JERUK,1
SAMPAH,SAMPAH LINGKUNGAN,COMPLETE,2019-01-04,2019-01-04,QL001340806,KELURAHAN CENGKARENG BARAT,0
SAMPAH,SAMPAH GOT,COMPLETE,2019-01-04,2019-01-04,QL001340804,KELURAHAN CENGKARENG BARAT,0
SAMPAH,SAMPAH GOT,COMPLETE,2019-01-04,2019-01-04,QL001340803,KELURAHAN PEGADUNGAN,0
SAMPAH,SAMPAH GOT,COMPLETE,2019-01-04,2019-01-04,QL001340801,KELURAHAN CENGKARENG BARAT,0
CORETAN/TEMPELAN/IKLAN/ SELEBARAN,-,COMPLETE,2019-01-04,2019-01-05,JK2001040063,KELURAHAN KALI DERES,1
CORETAN/TEMPELAN/IKLAN/ SELEBARAN,-,COMPLETE,2019-01-04,2019-01-04,JK2001040062,KELURAHAN DURI KOSAMBI,0
KONFLIK SOSIAL,-,COMPLETE,2019-01-04,2019-01-04,QL001340799,KELURAHAN SLIPI,0
KONFLIK SOSIAL,-,COMPLETE,2019-01-04,2019-01-04,QL001340797,KELURAHAN TOMANG,0
KONFLIK SOSIAL,-,COMPLETE,2019-01-04,2019-01-04,QL001340796,KELURAHAN TOMANG,0
